##########################################################

2

Block1
Adder2: -1:Y3, 0:Y3, 1:Y3, 2:Y3, 
Adder3: -1:Y4, 0:Y4, 1:Y4, 2:Y4, 
Adder4: -1:Y5, 0:Y5, 1:Y5, 2:Y5, 
Adder5: -1:Y6, 0:Y6, 1:Y6, 2:Y6, 
Adder6: -1:Y7, 0:Y7, 1:Y7, 2:Y7, 
Adder7: -1:Y8, 0:Y8, 1:Y8, 0, 
Adder8: -2:Y1, -1:Y9, 0:Y7, 1:Y9, 
Adder9: -2:Y2, -1:Y10, 0:Y6, 1:Y10, 
Adder10: -2:Y3, -1:Y11, 0:Y5, 1:Y11, 
Adder11: -2:Y4, -1:Y12, 0:Y4, 1:Y12, 
Adder12: -2:Y5, -1:Y13, 0:Y3, 1:Y13, 
Adder13: -2:Y6, -1:Y14, 0:Y2, 1:Y14, 
Adder14: -2:Y7, -1:Y15, 0:Y1, 1:Y15, 
Adder15: -2:Y8, -1:Y16, 0:Y9, 0, 

##########################################################

49

Block1
Adder0: -1:Y1, 0:Y1, 1:Y1, 2:Y1, 
Adder1: -1:Y1, 0:Y1, 1:Y1, 2:Y1, 
Adder2: -1:Y2, 0:Y2, 1:Y2, 2:Y2, 
Adder3: -1:Y2, 0:Y2, 1:Y2, 2:Y2, 
Adder4: -1:Y3, 0:Y3, 1:Y3, 2:Y3, 
Adder5: -1:Y3, 0:Y3, 1:Y3, 2:Y3, 
Adder6: -1:Y4, 0:Y4, 1:Y4, 2:Y4, 
Adder7: -1:Y4, 0:Y4, 1:Y4, 2:Y4, 
Adder8: -1:Y5, 0:Y5, 1:Y5, 2:Y5, 
Adder9: -1:Y5, 0:Y5, 1:Y5, 2:Y5, 
Adder10: -1:Y6, 0:Y6, 1:Y6, 2:Y6, 
Adder11: -1:Y6, 0:Y6, 1:Y6, 2:Y6, 
Adder12: -1:Y7, 0:Y7, 1:Y7, 2:Y7, 
Adder13: -1:Y7, 0:Y7, 1:Y7, 2:Y7, 
Adder14: -1:Y8, 0:Y8, 1:Y8, 2:Y8, 
Adder15: -1:Y8, 0:Y8, 1:Y8, 2:Y8, 

Block2
Adder0: 0:Y1, 1:Y1, 2:Y1, 3:Y1, 
Adder1: 0:Y1, 1:Y1, 2:Y1, 3:Y1, 
Adder2: 0:Y2, 1:Y2, 2:Y2, 3:Y2, 
Adder3: 0:Y2, 1:Y2, 2:Y2, 3:Y2, 
Adder4: 0:Y3, 1:Y3, 2:Y3, 3:Y3, 
Adder5: 0:Y3, 1:Y3, 2:Y3, 3:Y3, 
Adder6: 0:Y4, 1:Y4, 2:Y4, 3:Y4, 
Adder7: 0:Y4, 1:Y4, 2:Y4, 3:Y4, 
Adder8: 0:Y5, 1:Y5, 2:Y5, 3:Y5, 
Adder9: 0:Y5, 1:Y5, 2:Y5, 3:Y5, 
Adder10: 0:Y6, 1:Y6, 2:Y6, 3:Y6, 
Adder11: 0:Y6, 1:Y6, 2:Y6, 3:Y6, 
Adder12: 0:Y7, 1:Y7, 2:Y7, 3:Y7, 
Adder13: 0:Y7, 1:Y7, 2:Y7, 3:Y7, 
Adder14: 0:Y8, 1:Y8, 2:Y8, 0, 
Adder15: 0:Y8, 1:Y8, 2:Y8, 0, 

##########################################################

50

Block1
Adder0: 0, 1:Y1, 0, 0, 
Adder1: 0, 1:Y1, 0, 0, 
Adder2: 0, 1:Y1, 0, 0, 
Adder3: 0, 1:Y1, 0, 0, 
Adder4: 0, 1:Y1, 0, 0, 
Adder5: 0, 1:Y1, 0, 0, 
Adder6: 0, 1:Y1, 0, 0, 
Adder7: 0, 1:Y1, 0, 0, 
Adder8: 0, 1:Y1, 0, 0, 
Adder9: 0, 1:Y1, 0, 0, 
Adder10: 0, 1:Y1, 0, 0, 
Adder11: 0, 1:Y1, 0, 0, 
Adder12: 0, 1:Y1, 0, 0, 
Adder13: 0, 1:Y1, 0, 0, 
Adder14: 0, 1:Y1, 0, 0, 
Adder15: 0, 1:Y1, 0, 0, 

##########################################################

54

Block1
Adder0: 0:Y1, 1:Y1, 2:Y1, 3:Y1, 
Adder1: 0:Y2, 1:Y2, 2:Y2, 3:Y2, 
Adder2: 0:Y3, 1:Y3, 2:Y3, 3:Y3, 
Adder3: 0:Y4, 1:Y4, 2:Y4, 3:Y4, 
Adder4: 0:Y5, 1:Y5, 2:Y5, 3:Y5, 
Adder5: 0:Y6, 1:Y6, 2:Y6, 3:Y6, 
Adder6: 0:Y7, 1:Y7, 2:Y7, 3:Y7, 
Adder7: 1:Y8, 2:Y8, 3:Y8, 0, 
Adder8: 1:Y9, 2:Y7, 3:Y9, 4:Y1, 
Adder9: 1:Y10, 2:Y6, 3:Y10, 4:Y2, 
Adder10: 1:Y11, 2:Y5, 3:Y11, 4:Y3, 
Adder11: 1:Y12, 2:Y4, 3:Y12, 4:Y4, 
Adder12: 1:Y13, 2:Y3, 3:Y13, 4:Y5, 
Adder13: 1:Y14, 2:Y2, 3:Y14, 4:Y6, 
Adder14: 1:Y15, 2:Y1, 3:Y15, 4:Y7, 
Adder15: 2:Y9, 3:Y16, 4:Y8, 0, 

